name,link,size
From TV Animation One Piece - Chopper no Daibouken (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/From%20TV%20Animation%20One%20Piece%20-%20Chopper%20no%20Daibouken%20%28Japan%29.wsc,4.00 MB
From TV Animation One Piece - Grand Battle Swan Colosseum (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/From%20TV%20Animation%20One%20Piece%20-%20Grand%20Battle%20Swan%20Colosseum%20%28Japan%29.wsc,8.00 MB
From TV Animation One Piece - Niji no Shima Densetsu (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/From%20TV%20Animation%20One%20Piece%20-%20Niji%20no%20Shima%20Densetsu%20%28Japan%29.wsc,4.00 MB
From TV Animation One Piece - Treasure Wars (Japan) (Rev 1).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/From%20TV%20Animation%20One%20Piece%20-%20Treasure%20Wars%20%28Japan%29%20%28Rev%201%29.wsc,4.00 MB
From TV Animation One Piece - Treasure Wars (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/From%20TV%20Animation%20One%20Piece%20-%20Treasure%20Wars%20%28Japan%29.wsc,4.00 MB
From TV Animation One Piece - Treasure Wars 2 - Buggy Land e Youkoso (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/From%20TV%20Animation%20One%20Piece%20-%20Treasure%20Wars%202%20-%20Buggy%20Land%20e%20Youkoso%20%28Japan%29.wsc,8.00 MB
Front Mission (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Front%20Mission%20%28Japan%29.wsc,8.00 MB
Gekitou! Crash Gear Turbo - Gear Champion League (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Gekitou%21%20Crash%20Gear%20Turbo%20-%20Gear%20Champion%20League%20%28Japan%29.wsc,4.00 MB
Gensou Maden Saiyuuki Retribution - Hi no Ataru Basho de (Japan) (Rev 2).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Gensou%20Maden%20Saiyuuki%20Retribution%20-%20Hi%20no%20Ataru%20Basho%20de%20%28Japan%29%20%28Rev%202%29.wsc,2.00 MB
Golden Axe (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Golden%20Axe%20%28Japan%29.wsc,4.00 MB
Gransta Chronicle (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Gransta%20Chronicle%20%28Japan%29.wsc,8.00 MB
Guilty Gear Petit (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Guilty%20Gear%20Petit%20%28Japan%29.wsc,2.00 MB
Guilty Gear Petit 2 (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Guilty%20Gear%20Petit%202%20%28Japan%29.wsc,4.00 MB
GunPey EX (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/GunPey%20EX%20%28Japan%29.wsc,1.00 MB
"Hanjuku Hero - Ah, Sekai yo Hanjuku Nare...!! (Japan) (Rev 1).wsc",https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Hanjuku%20Hero%20-%20Ah%2C%20Sekai%20yo%20Hanjuku%20Nare...%21%21%20%28Japan%29%20%28Rev%201%29.wsc,4.00 MB
Hataraku Chocobo (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Hataraku%20Chocobo%20%28Japan%29.wsc,1.00 MB
Hunter X Hunter - Greed Island (Japan) (Rev 1).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Hunter%20X%20Hunter%20-%20Greed%20Island%20%28Japan%29%20%28Rev%201%29.wsc,8.00 MB
Hunter X Hunter - Greed Island (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Hunter%20X%20Hunter%20-%20Greed%20Island%20%28Japan%29.wsc,8.00 MB
Hunter X Hunter - Michibikareshi Mono (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Hunter%20X%20Hunter%20-%20Michibikareshi%20Mono%20%28Japan%29.wsc,4.00 MB
Hunter X Hunter - Sorezore no Ketsui (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Hunter%20X%20Hunter%20-%20Sorezore%20no%20Ketsui%20%28Japan%29.wsc,4.00 MB
Inuyasha - Fuuun Emaki (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Inuyasha%20-%20Fuuun%20Emaki%20%28Japan%29.wsc,4.00 MB
