manifest_path,mnemonic,rom_path
"3ds/Animal Crossing - Happy Home Designer (Europe) (En,Fr,De,Es,It) (Rev 1).3ds",3ds,"Animal Crossing - Happy Home Designer (Europe) (En,Fr,De,Es,It) (Rev 1).3ds"
"3ds/Animal Crossing - New Leaf (Europe) (En,Fr,De,Es,It).3ds",3ds,"Animal Crossing - New Leaf (Europe) (En,Fr,De,Es,It).3ds"
"3ds/Animal Crossing - New Leaf - Welcome Amiibo (Europe) (En,Fr,De,Es,It).3ds",3ds,"Animal Crossing - New Leaf - Welcome Amiibo (Europe) (En,Fr,De,Es,It).3ds"
"3ds/Animal Hospital (Europe) (En,Fr,De,Es,It,Nl).3ds",3ds,"Animal Hospital (Europe) (En,Fr,De,Es,It,Nl).3ds"
3ds/Animal Resort - Dobutsuen o Tsukurou!! (Japan).3ds,3ds,Animal Resort - Dobutsuen o Tsukurou!! (Japan).3ds
3ds/Anpanman to Asobo - New Aiueo Kyoushitsu (Japan).3ds,3ds,Anpanman to Asobo - New Aiueo Kyoushitsu (Japan).3ds
3ds/Anpanman to Touch de Waku Waku Training (Japan).3ds,3ds,Anpanman to Touch de Waku Waku Training (Japan).3ds
3ds/Ansatsu Kyoushitsu - Assassin Ikusei Keikaku!! (Japan).3ds,3ds,Ansatsu Kyoushitsu - Assassin Ikusei Keikaku!! (Japan).3ds
3ds/Ansatsu Kyoushitsu - Koro-sensei Daihouimou!! (Japan).3ds,3ds,Ansatsu Kyoushitsu - Koro-sensei Daihouimou!! (Japan).3ds
"3ds/Arcade Classics 3D (Europe) (En,Fr,De,Es,It,Nl).3ds",3ds,"Arcade Classics 3D (Europe) (En,Fr,De,Es,It,Nl).3ds"
3ds/Are You Smarter than a 5th Grader (USA).3ds,3ds,Are You Smarter than a 5th Grader (USA).3ds
3ds/Armed Blue Gunvolt - Striker Pack (Japan).3ds,3ds,Armed Blue Gunvolt - Striker Pack (Japan).3ds
"3ds/Around the World with Hello Kitty & Friends (Europe) (En,Fr,De,Es,It).3ds",3ds,"Around the World with Hello Kitty & Friends (Europe) (En,Fr,De,Es,It).3ds"
"3ds/Art Academy - Lessons for Everyone! (USA) (En,Fr,Es).3ds",3ds,"Art Academy - Lessons for Everyone! (USA) (En,Fr,Es).3ds"
3ds/Asonde Shogi ga Tsuyokunaru! Ginsei Shogi DX (Japan).3ds,3ds,Asonde Shogi ga Tsuyokunaru! Ginsei Shogi DX (Japan).3ds
"3ds/Asphalt 3D (Europe) (En,Fr,De,Es,It).3ds",3ds,"Asphalt 3D (Europe) (En,Fr,De,Es,It).3ds"
3ds/Asphalt 3D - Nitro Racing (Japan).3ds,3ds,Asphalt 3D - Nitro Racing (Japan).3ds
"3ds/Asterix - The Mansions of the Gods (Europe) (En,Fr,De,Es,It,Nl).3ds",3ds,"Asterix - The Mansions of the Gods (Europe) (En,Fr,De,Es,It,Nl).3ds"
3ds/Atelier Deco La Doll Collection (Japan).3ds,3ds,Atelier Deco La Doll Collection (Japan).3ds
"3ds/Atlantic Quest (Europe) (En,Fr,De,Es,It,Nl).3ds",3ds,"Atlantic Quest (Europe) (En,Fr,De,Es,It,Nl).3ds"
3ds/Atooi Collection (USA).3ds,3ds,Atooi Collection (USA).3ds
"3ds/Azada (Europe) (En,Fr,De,Nl).3ds",3ds,"Azada (Europe) (En,Fr,De,Nl).3ds"
3ds/Azito 3D (Japan).3ds,3ds,Azito 3D (Japan).3ds
3ds/Azure Striker Gunvolt - Striker Pack (USA).3ds,3ds,Azure Striker Gunvolt - Striker Pack (USA).3ds
3ds/Bandai Namco Games Presents J Legend Retsuden (Japan).3ds,3ds,Bandai Namco Games Presents J Legend Retsuden (Japan).3ds
"3ds/Barbie & Her Sisters - Puppy Rescue (Europe) (En,Fr,De).3ds",3ds,"Barbie & Her Sisters - Puppy Rescue (Europe) (En,Fr,De).3ds"
"3ds/Barbie - Fun & Fashion Dogs (Europe) (En,Fr,De,Es,It,Nl).3ds",3ds,"Barbie - Fun & Fashion Dogs (Europe) (En,Fr,De,Es,It,Nl).3ds"
"3ds/Barbie - Groom and Glam Pups (USA) (En,Fr,Es).3ds",3ds,"Barbie - Groom and Glam Pups (USA) (En,Fr,Es).3ds"
"3ds/Barbie Dreamhouse Party (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi).3ds",3ds,"Barbie Dreamhouse Party (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi).3ds"
"3ds/Batman - Arkham Origins Blackgate (Europe) (En,Fr,De,Es,It).3ds",3ds,"Batman - Arkham Origins Blackgate (Europe) (En,Fr,De,Es,It).3ds"
"3ds/Battleship (Europe) (En,Fr,De,Es,It).3ds",3ds,"Battleship (Europe) (En,Fr,De,Es,It).3ds"
3ds/Beast Saga - Saikyou Gekitotsu Colosseum! (Japan).3ds,3ds,Beast Saga - Saikyou Gekitotsu Colosseum! (Japan).3ds
"3ds/Bella Sara - The Magical Horse Adventures (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi).3ds",3ds,"Bella Sara - The Magical Horse Adventures (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi).3ds"
"3ds/Bella Sara 2 (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi).3ds",3ds,"Bella Sara 2 (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi).3ds"
"3ds/Ben 10 - Galactic Racing (Europe) (En,Fr,De,Es,It).3ds",3ds,"Ben 10 - Galactic Racing (Europe) (En,Fr,De,Es,It).3ds"
"3ds/Ben 10 - Omniverse (Europe) (En,Fr,De,Es,It,Ru).3ds",3ds,"Ben 10 - Omniverse (Europe) (En,Fr,De,Es,It,Ru).3ds"
"3ds/Best Friends My Horse 3D (Europe) (En,De,It).3ds",3ds,"Best Friends My Horse 3D (Europe) (En,De,It).3ds"
"3ds/Best of Arcade Games (Europe) (En,Fr,De,Es,It,Nl).3ds",3ds,"Best of Arcade Games (Europe) (En,Fr,De,Es,It,Nl).3ds"
"3ds/Best of Board Games (Europe) (En,Fr,De,Es,It,Nl).3ds",3ds,"Best of Board Games (Europe) (En,Fr,De,Es,It,Nl).3ds"
"3ds/Best of Casual Games (Europe) (En,Fr,De,Es,It,Nl).3ds",3ds,"Best of Casual Games (Europe) (En,Fr,De,Es,It,Nl).3ds"
3ds/Beyblade Burst (Japan).3ds,3ds,Beyblade Burst (Japan).3ds
"3ds/Beyblade Evolution (Europe) (En,Fr,De,Es).3ds",3ds,"Beyblade Evolution (Europe) (En,Fr,De,Es).3ds"
3ds/Bibi & Tina - Das Spiel zum Kinofilm (Germany) (Rev 1).3ds,3ds,Bibi & Tina - Das Spiel zum Kinofilm (Germany) (Rev 1).3ds
3ds/Bibi Blocksberg - Das grosse Hexenbesen-Rennen 2 (Germany).3ds,3ds,Bibi Blocksberg - Das grosse Hexenbesen-Rennen 2 (Germany).3ds
"3ds/Big Hero 6 - Battle in the Bay (Europe) (En,Fr,De,Es,It,Nl).3ds",3ds,"Big Hero 6 - Battle in the Bay (Europe) (En,Fr,De,Es,It,Nl).3ds"
3ds/Bikkuri! Tobidasu! Mahou no Pen (Japan).3ds,3ds,Bikkuri! Tobidasu! Mahou no Pen (Japan).3ds
