manifest_path,mnemonic,rom_path
"3ds/RPG Maker Fes (Europe) (En,Fr,De,Es,It).3ds",3ds,"RPG Maker Fes (Europe) (En,Fr,De,Es,It).3ds"
3ds/RPG Tsukuru Fes (Japan).3ds,3ds,RPG Tsukuru Fes (Japan).3ds
"3ds/Rabbids - Travel in Time 3D (USA) (En,Fr,Es).3ds",3ds,"Rabbids - Travel in Time 3D (USA) (En,Fr,Es).3ds"
"3ds/Rabbids 3D (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da) (Rev 1).3ds",3ds,"Rabbids 3D (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da) (Rev 1).3ds"
"3ds/Rabbids Rumble (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da).3ds",3ds,"Rabbids Rumble (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da).3ds"
3ds/Radiant Historia - Perfect Chronology (Europe).3ds,3ds,Radiant Historia - Perfect Chronology (Europe).3ds
3ds/Raishi (Japan).3ds,3ds,Raishi (Japan).3ds
3ds/Raishi - Konpeki no Shou (Japan).3ds,3ds,Raishi - Konpeki no Shou (Japan).3ds
"3ds/Rayman 3D (Europe) (En,Fr,De,Es,It) (Rev 1).3ds",3ds,"Rayman 3D (Europe) (En,Fr,De,Es,It) (Rev 1).3ds"
"3ds/Rayman Origins (Europe) (En,Fr,De,Es,It,Nl) (Rev 1).3ds",3ds,"Rayman Origins (Europe) (En,Fr,De,Es,It,Nl) (Rev 1).3ds"
"3ds/Rayman and Rabbids Family Pack (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da) (Rev 1).3ds",3ds,"Rayman and Rabbids Family Pack (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da) (Rev 1).3ds"
3ds/Real 3D Bass Fishing - Fish On (Japan).3ds,3ds,Real 3D Bass Fishing - Fish On (Japan).3ds
"3ds/Real Heroes - Firefighter 3D (Europe) (En,Fr,De,Es,It).3ds",3ds,"Real Heroes - Firefighter 3D (Europe) (En,Fr,De,Es,It).3ds"
"3ds/Reel Fishing Paradise 3D (Europe) (En,Fr,De,Es,It,Pt) (Rev 1).3ds",3ds,"Reel Fishing Paradise 3D (Europe) (En,Fr,De,Es,It,Pt) (Rev 1).3ds"
3ds/Regular Show - Mordecai & Rigby in 8-Bit Land (Europe).3ds,3ds,Regular Show - Mordecai & Rigby in 8-Bit Land (Europe).3ds
3ds/Relaxuma Nakayoshi Collection (Japan).3ds,3ds,Relaxuma Nakayoshi Collection (Japan).3ds
"3ds/Resident Evil - Revelations (Europe) (En,Ja,Fr,De,Es,It).3ds",3ds,"Resident Evil - Revelations (Europe) (En,Ja,Fr,De,Es,It).3ds"
"3ds/Resident Evil - The Mercenaries 3D (Europe) (En,Fr,De,Es,It).3ds",3ds,"Resident Evil - The Mercenaries 3D (Europe) (En,Fr,De,Es,It).3ds"
3ds/Return to PopoloCrois - A Story of Seasons Fairytale (USA).3ds,3ds,Return to PopoloCrois - A Story of Seasons Fairytale (USA).3ds
3ds/Rhythm Kaitou R - Koutei Napoleon no Isan (Japan).3ds,3ds,Rhythm Kaitou R - Koutei Napoleon no Isan (Japan).3ds
"3ds/Rhythm Paradise Megamix (Europe) (En,Fr,De,Es,It).3ds",3ds,"Rhythm Paradise Megamix (Europe) (En,Fr,De,Es,It).3ds"
3ds/Rhythm Tengoku - The Best+ (Japan).3ds,3ds,Rhythm Tengoku - The Best+ (Japan).3ds
"3ds/Rhythm Thief & the Emperor's Treasure (Europe) (En,Fr,De,Es,It).3ds",3ds,"Rhythm Thief & the Emperor's Treasure (Europe) (En,Fr,De,Es,It).3ds"
"3ds/Ridge Racer 3D (Europe) (En,Fr,De,Es,It).3ds",3ds,"Ridge Racer 3D (Europe) (En,Fr,De,Es,It).3ds"
"3ds/Riding Stables 3D (Europe) (En,Fr,De,It,Nl,Sv,No,Da).3ds",3ds,"Riding Stables 3D (Europe) (En,Fr,De,It,Nl,Sv,No,Da).3ds"
"3ds/Riding Stables 3D - Rivals in the Saddle (Europe) (En,Fr,De,It,Nl,Sv,No,Da) (Rev 1).3ds",3ds,"Riding Stables 3D - Rivals in the Saddle (Europe) (En,Fr,De,It,Nl,Sv,No,Da) (Rev 1).3ds"
3ds/Rilu Rilu Fairilu Kirakira Hajimete no Fairilu Magic (Japan).3ds,3ds,Rilu Rilu Fairilu Kirakira Hajimete no Fairilu Magic (Japan).3ds
"3ds/Rise of the Guardians (Europe) (En,Fr,De,Es,It).3ds",3ds,"Rise of the Guardians (Europe) (En,Fr,De,Es,It).3ds"
3ds/River City - Rival Showdown (USA).3ds,3ds,River City - Rival Showdown (USA).3ds
3ds/River City - Tokyo Rumble (USA).3ds,3ds,River City - Tokyo Rumble (USA).3ds
3ds/Rockman Classics Collection (Japan).3ds,3ds,Rockman Classics Collection (Japan).3ds
3ds/Rune Factory 4 (USA).3ds,3ds,Rune Factory 4 (USA).3ds
3ds/Sekaiju no Meikyuu IV - Denshou no Kyoshin (Japan).3ds,3ds,Sekaiju no Meikyuu IV - Denshou no Kyoshin (Japan).3ds
3ds/Sherlock Holmes Puzzle City (Japan).3ds,3ds,Sherlock Holmes Puzzle City (Japan).3ds
3ds/Shin Megami Tensei - Devil Summoner - Soul Hackers (Europe).3ds,3ds,Shin Megami Tensei - Devil Summoner - Soul Hackers (Europe).3ds
3ds/Shin Megami Tensei - Devil Survivor 2 - Record Breaker (Europe).3ds,3ds,Shin Megami Tensei - Devil Survivor 2 - Record Breaker (Europe).3ds
3ds/Shin Megami Tensei - Devil Survivor Overclocked (Europe) (Rev 1).3ds,3ds,Shin Megami Tensei - Devil Survivor Overclocked (Europe) (Rev 1).3ds
3ds/Shin Megami Tensei - Strange Journey Redux (Europe).3ds,3ds,Shin Megami Tensei - Strange Journey Redux (Europe).3ds
3ds/Shin Megami Tensei IV (USA).3ds,3ds,Shin Megami Tensei IV (USA).3ds
3ds/Shin Megami Tensei IV - Apocalypse (Europe).3ds,3ds,Shin Megami Tensei IV - Apocalypse (Europe).3ds
3ds/Skylanders - Spyro no Daibouken (Japan).3ds,3ds,Skylanders - Spyro no Daibouken (Japan).3ds
"3ds/Skylanders - Spyro's Adventure (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi).3ds",3ds,"Skylanders - Spyro's Adventure (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi).3ds"
"3ds/Skylanders Giants (Europe) (En,Fr,De,Es,It,Nl).3ds",3ds,"Skylanders Giants (Europe) (En,Fr,De,Es,It,Nl).3ds"
"3ds/Skylanders SuperChargers Racing (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi).3ds",3ds,"Skylanders SuperChargers Racing (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi).3ds"
"3ds/Skylanders Swap Force (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi).3ds",3ds,"Skylanders Swap Force (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi).3ds"
"3ds/Skylanders Trap Team (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi).3ds",3ds,"Skylanders Trap Team (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi).3ds"
3ds/Slime Mori Mori Dragon Quest 3 - Daikaizoku to Shippo Dan (Japan).3ds,3ds,Slime Mori Mori Dragon Quest 3 - Daikaizoku to Shippo Dan (Japan).3ds
3ds/Soni Pro (Japan).3ds,3ds,Soni Pro (Japan).3ds
"3ds/Sonic & All-Stars Racing Transformed (Europe) (En,Fr,De,Es,It).3ds",3ds,"Sonic & All-Stars Racing Transformed (Europe) (En,Fr,De,Es,It).3ds"
"3ds/Sonic Boom - Fire & Ice (Europe) (En,Fr,De,Es,It).3ds",3ds,"Sonic Boom - Fire & Ice (Europe) (En,Fr,De,Es,It).3ds"
"3ds/Sonic Boom - Shattered Crystal (Europe) (En,Fr,De,Es,It).3ds",3ds,"Sonic Boom - Shattered Crystal (Europe) (En,Fr,De,Es,It).3ds"
"3ds/Sonic Generations (Europe) (En,Fr,De,Es,It) (Rev 1).3ds",3ds,"Sonic Generations (Europe) (En,Fr,De,Es,It) (Rev 1).3ds"
3ds/Sonic Generations - Ao no Bouken (Japan).3ds,3ds,Sonic Generations - Ao no Bouken (Japan).3ds
"3ds/Sonic Lost World (Europe) (En,Fr,De,Es,It).3ds",3ds,"Sonic Lost World (Europe) (En,Fr,De,Es,It).3ds"
3ds/Sonic Toon - Fire & Ice (Japan).3ds,3ds,Sonic Toon - Fire & Ice (Japan).3ds
3ds/Sonic Toon - Island Adventure (Japan).3ds,3ds,Sonic Toon - Island Adventure (Japan).3ds
"3ds/Spider-Man - Edge of Time (Europe) (En,De,Es,It).3ds",3ds,"Spider-Man - Edge of Time (Europe) (En,De,Es,It).3ds"
"3ds/Spirit Camera - The Cursed Memoir (Europe) (En,Fr,De,Es,It).3ds",3ds,"Spirit Camera - The Cursed Memoir (Europe) (En,Fr,De,Es,It).3ds"
"3ds/SpongeBob HeroPants (Europe) (En,Fr,De,It).3ds",3ds,"SpongeBob HeroPants (Europe) (En,Fr,De,It).3ds"
"3ds/SpongeBob SquarePants - Plankton's Robotic Revenge (Europe) (En,Fr,De,Es,It,Nl,Sv).3ds",3ds,"SpongeBob SquarePants - Plankton's Robotic Revenge (Europe) (En,Fr,De,Es,It,Nl,Sv).3ds"
"3ds/SpongeBob SquigglePants (Europe) (En,Fr,De,Es,It,Nl) (Rev 1).3ds",3ds,"SpongeBob SquigglePants (Europe) (En,Fr,De,Es,It,Nl) (Rev 1).3ds"
"3ds/Sports Island 3D (Europe) (En,Fr,De,Es,It).3ds",3ds,"Sports Island 3D (Europe) (En,Fr,De,Es,It).3ds"
"3ds/Spot the Differences (Europe) (En,Fr,De,Es,It,Nl).3ds",3ds,"Spot the Differences (Europe) (En,Fr,De,Es,It,Nl).3ds"
"3ds/Spy Hunter (Europe) (En,Fr,De,Es,It,Nl).3ds",3ds,"Spy Hunter (Europe) (En,Fr,De,Es,It,Nl).3ds"
"3ds/Star Fox 64 3D (Europe) (En,Fr,De,Es,It) (Rev 2).3ds",3ds,"Star Fox 64 3D (Europe) (En,Fr,De,Es,It) (Rev 2).3ds"
3ds/Starry Sky - In Autumn 3D (Japan).3ds,3ds,Starry Sky - In Autumn 3D (Japan).3ds
3ds/Starry Sky - In Spring 3D (Japan).3ds,3ds,Starry Sky - In Spring 3D (Japan).3ds
3ds/Starry Sky - In Summer 3D (Japan).3ds,3ds,Starry Sky - In Summer 3D (Japan).3ds
"3ds/Steel Diver (Europe) (En,Fr,De,Es,It).3ds",3ds,"Steel Diver (Europe) (En,Fr,De,Es,It).3ds"
3ds/Stella Glow (Europe).3ds,3ds,Stella Glow (Europe).3ds
3ds/Sternenschweif 3D - Das Geheimnis im Zauberwald (Germany).3ds,3ds,Sternenschweif 3D - Das Geheimnis im Zauberwald (Germany).3ds
"3ds/Story of Seasons (Europe) (En,Fr,De,Es,It).3ds",3ds,"Story of Seasons (Europe) (En,Fr,De,Es,It).3ds"
"3ds/Story of Seasons - Trio of Towns (Europe) (En,Fr,De,Es,It).3ds",3ds,"Story of Seasons - Trio of Towns (Europe) (En,Fr,De,Es,It).3ds"
3ds/Style Savvy - Fashion Forward (USA).3ds,3ds,Style Savvy - Fashion Forward (USA).3ds
3ds/Style Savvy - Trendsetters (USA).3ds,3ds,Style Savvy - Trendsetters (USA).3ds
3ds/Sudoku + 7 Other Complex Puzzles by Nikoli (Europe).3ds,3ds,Sudoku + 7 Other Complex Puzzles by Nikoli (Europe).3ds
"3ds/Sudoku - The Puzzle Game Collection (Europe) (En,Fr,De,Es,It).3ds",3ds,"Sudoku - The Puzzle Game Collection (Europe) (En,Fr,De,Es,It).3ds"
3ds/Sudoku to 3-Tsu no Puzzle - Nikoli no Puzzle Variety (Japan).3ds,3ds,Sudoku to 3-Tsu no Puzzle - Nikoli no Puzzle Variety (Japan).3ds
3ds/SuiChara - Sweets Gakkou e Youkoso! (Japan).3ds,3ds,SuiChara - Sweets Gakkou e Youkoso! (Japan).3ds
3ds/Sumikko Gurashi - Koko ga Ochitsukundesu (Japan) (Rev 2).3ds,3ds,Sumikko Gurashi - Koko ga Ochitsukundesu (Japan) (Rev 2).3ds
"3ds/Sumikko Gurashi - Koko, Dokonan Desu (Japan).3ds",3ds,"Sumikko Gurashi - Koko, Dokonan Desu (Japan).3ds"
3ds/Sumikko Gurashi - Mura o Tsukurundesu (Japan).3ds,3ds,Sumikko Gurashi - Mura o Tsukurundesu (Japan).3ds
3ds/Sumikko Gurashi - Omise Hajimerundesu (Japan) (Rev 1).3ds,3ds,Sumikko Gurashi - Omise Hajimerundesu (Japan) (Rev 1).3ds
"3ds/Super Black Bass 3D (Europe) (En,Fr,De).3ds",3ds,"Super Black Bass 3D (Europe) (En,Fr,De).3ds"
"3ds/Super Mario 3D Land (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru) (Rev 1).3ds",3ds,"Super Mario 3D Land (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru) (Rev 1).3ds"
"3ds/Super Mario Maker for Nintendo 3DS (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru) (Rev 2).3ds",3ds,"Super Mario Maker for Nintendo 3DS (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru) (Rev 2).3ds"
"3ds/Super Monkey Ball 3D (Europe) (En,Fr,De,Es,It).3ds",3ds,"Super Monkey Ball 3D (Europe) (En,Fr,De,Es,It).3ds"
3ds/Super Pokemon Daegyeokdol (Korea).3ds,3ds,Super Pokemon Daegyeokdol (Korea).3ds
"3ds/Super Pokemon Rumble (Europe) (En,Fr,De,Es,It) (Rev 1).3ds",3ds,"Super Pokemon Rumble (Europe) (En,Fr,De,Es,It) (Rev 1).3ds"
"3ds/Super Smash Bros. for Nintendo 3DS (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru) (Rev 1).3ds",3ds,"Super Smash Bros. for Nintendo 3DS (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru) (Rev 1).3ds"
"3ds/Super Street Fighter IV - 3D Edition (Europe) (En,Fr,De,Es,It).3ds",3ds,"Super Street Fighter IV - 3D Edition (Europe) (En,Fr,De,Es,It).3ds"
"3ds/Sushi Striker - The Way of Sushido (Europe) (En,Fr,De,Es,It,Nl).3ds",3ds,"Sushi Striker - The Way of Sushido (Europe) (En,Fr,De,Es,It,Nl).3ds"
3ds/Taegoui Darin - Kungttak Kungttak Sigong Daemoheom (Korea).3ds,3ds,Taegoui Darin - Kungttak Kungttak Sigong Daemoheom (Korea).3ds
3ds/Taiko no Tatsujin - Chibi Dragon to Fushigi na Orb (Japan) (Rev 1).3ds,3ds,Taiko no Tatsujin - Chibi Dragon to Fushigi na Orb (Japan) (Rev 1).3ds
3ds/Taiko no Tatsujin - Doko Don! Mystery Adventure (Japan).3ds,3ds,Taiko no Tatsujin - Doko Don! Mystery Adventure (Japan).3ds
3ds/Taiko no Tatsujin - Don to Katsu no Jikuu Daibouken (Japan).3ds,3ds,Taiko no Tatsujin - Don to Katsu no Jikuu Daibouken (Japan).3ds
3ds/Tales of the Abyss (Europe).3ds,3ds,Tales of the Abyss (Europe).3ds
3ds/Tales of the World - Reve Unitia (Japan).3ds,3ds,Tales of the World - Reve Unitia (Japan).3ds
3ds/Tamagotchi no Doki Doki Dream Omisetchi (Japan).3ds,3ds,Tamagotchi no Doki Doki Dream Omisetchi (Japan).3ds
3ds/Tamagotchi no Puchi Puchi Omisechi - Ninki no Omise Atsume Mashita (Japan).3ds,3ds,Tamagotchi no Puchi Puchi Omisechi - Ninki no Omise Atsume Mashita (Japan).3ds
3ds/Tamagotchi! Seeshun no Dream School (Japan).3ds,3ds,Tamagotchi! Seeshun no Dream School (Japan).3ds
3ds/Tanoshiku - Omoshiroku - Kanken Shougakusei (Japan).3ds,3ds,Tanoshiku - Omoshiroku - Kanken Shougakusei (Japan).3ds
3ds/Tantei Jinguuji Saburo - Fukushuu no Rondo (Japan).3ds,3ds,Tantei Jinguuji Saburo - Fukushuu no Rondo (Japan).3ds
3ds/Tantei Jinguuji Saburou - Ghost of the Dusk (Japan).3ds,3ds,Tantei Jinguuji Saburou - Ghost of the Dusk (Japan).3ds
"3ds/Teddy Together (Europe) (En,Fr,De,Es,It).3ds",3ds,"Teddy Together (Europe) (En,Fr,De,Es,It).3ds"
"3ds/Teenage Mutant Ninja Turtles - Danger of the Ooze (Europe) (En,Fr,De,Es,It,Nl,Sv).3ds",3ds,"Teenage Mutant Ninja Turtles - Danger of the Ooze (Europe) (En,Fr,De,Es,It,Nl,Sv).3ds"
"3ds/Teenage Mutant Ninja Turtles - Master Splinter's Training Pack (Europe) (En,Fr,De,Es,It,Nl,Sv).3ds",3ds,"Teenage Mutant Ninja Turtles - Master Splinter's Training Pack (Europe) (En,Fr,De,Es,It,Nl,Sv).3ds"
"3ds/Tekken 3D - Prime Edition (Europe) (En,Fr,De,Es,It).3ds",3ds,"Tekken 3D - Prime Edition (Europe) (En,Fr,De,Es,It).3ds"
"3ds/Tenkai Knights - Brave Battle (Europe) (En,Fr,De,Es,It).3ds",3ds,"Tenkai Knights - Brave Battle (Europe) (En,Fr,De,Es,It).3ds"
3ds/Teolsil Kirby Iyagi Plus (Korea).3ds,3ds,Teolsil Kirby Iyagi Plus (Korea).3ds
3ds/Terra Formars - Akaki Hoshi no Gekitou (Japan).3ds,3ds,Terra Formars - Akaki Hoshi no Gekitou (Japan).3ds
"3ds/Terraria (Europe) (En,Fr,De,Es,It) (Rev 1).3ds",3ds,"Terraria (Europe) (En,Fr,De,Es,It) (Rev 1).3ds"
"3ds/Tetris (Europe) (En,Fr,De,Es,It,Nl) (Rev 1).3ds",3ds,"Tetris (Europe) (En,Fr,De,Es,It,Nl) (Rev 1).3ds"
"3ds/Tetris - Axis (USA) (En,Fr,Es).3ds",3ds,"Tetris - Axis (USA) (En,Fr,Es).3ds"
"3ds/Tetris Ultimate (Europe) (En,Fr,De,Es,It).3ds",3ds,"Tetris Ultimate (Europe) (En,Fr,De,Es,It).3ds"
3ds/Tetsudou Nippon! Rosen Tabi - Aizu Tetsudou Hen (Japan).3ds,3ds,Tetsudou Nippon! Rosen Tabi - Aizu Tetsudou Hen (Japan).3ds
3ds/Tetsudou Nippon! Rosen Tabi - Eizan Densha Hen (Japan).3ds,3ds,Tetsudou Nippon! Rosen Tabi - Eizan Densha Hen (Japan).3ds
3ds/Tetsudou Nippon! Rosen Tabi - Kashima Rinkai Tetsudou Hen (Japan).3ds,3ds,Tetsudou Nippon! Rosen Tabi - Kashima Rinkai Tetsudou Hen (Japan).3ds
3ds/Tetsudou Nippon! Rosen Tabi - Kikansha Thomas Hen - Ooigawa Tetsudou wo Hashirou! (Japan).3ds,3ds,Tetsudou Nippon! Rosen Tabi - Kikansha Thomas Hen - Ooigawa Tetsudou wo Hashirou! (Japan).3ds
3ds/Tetsudou Nippon! Rosen Tabi - Yui Rail-Hen (Japan).3ds,3ds,Tetsudou Nippon! Rosen Tabi - Yui Rail-Hen (Japan).3ds
3ds/Theatrhythm Dragon Quest (Japan).3ds,3ds,Theatrhythm Dragon Quest (Japan).3ds
3ds/Theatrhythm Final Fantasy (Europe).3ds,3ds,Theatrhythm Final Fantasy (Europe).3ds
3ds/Theatrhythm Final Fantasy - Curtain Call (Europe).3ds,3ds,Theatrhythm Final Fantasy - Curtain Call (Europe).3ds
3ds/Tobidase Doubutsu no Mori (Japan) (Rev 1).3ds,3ds,Tobidase Doubutsu no Mori (Japan) (Rev 1).3ds
3ds/Tobidasu! Puzzle Bobble 3D (Japan).3ds,3ds,Tobidasu! Puzzle Bobble 3D (Japan).3ds
3ds/Tohoku Daigaku Karei Igaku Kenkyuusho - Kawashima Ryuuta Kyouju Kanshuu - Monosugoku Nou wo Kitaeru 5-Funkan no Oni Training (Japan).3ds,3ds,Tohoku Daigaku Karei Igaku Kenkyuusho - Kawashima Ryuuta Kyouju Kanshuu - Monosugoku Nou wo Kitaeru 5-Funkan no Oni Training (Japan).3ds
"3ds/Tom Clancy's Ghost Recon - Shadow Wars (Europe) (En,Fr,De,Es,It).3ds",3ds,"Tom Clancy's Ghost Recon - Shadow Wars (Europe) (En,Fr,De,Es,It).3ds"
"3ds/Tom Clancy's Splinter Cell 3D (Europe) (En,Fr,De,Es,It).3ds",3ds,"Tom Clancy's Splinter Cell 3D (Europe) (En,Fr,De,Es,It).3ds"
3ds/Tomodachi Collection - Shin Seikatsu (Japan) (Rev 1).3ds,3ds,Tomodachi Collection - Shin Seikatsu (Japan) (Rev 1).3ds
"3ds/Tomodachi Life (Europe) (En,Fr,De,Es,It) (Rev 1).3ds",3ds,"Tomodachi Life (Europe) (En,Fr,De,Es,It) (Rev 1).3ds"
3ds/Tongari Boushi to Mahou no Machi (Japan).3ds,3ds,Tongari Boushi to Mahou no Machi (Japan).3ds
"3ds/Top Model 3D (Europe) (En,Fr,De,Es,It,Nl).3ds",3ds,"Top Model 3D (Europe) (En,Fr,De,Es,It,Nl).3ds"
3ds/Top Trumps - NBA All Stars (USA).3ds,3ds,Top Trumps - NBA All Stars (USA).3ds
3ds/Toriko - Gourmet Battle! (Japan).3ds,3ds,Toriko - Gourmet Battle! (Japan).3ds
3ds/Toriko - Gourmet Monsters! (Japan).3ds,3ds,Toriko - Gourmet Monsters! (Japan).3ds
3ds/Toriko - Ultimate Survival (Japan).3ds,3ds,Toriko - Ultimate Survival (Japan).3ds
3ds/Touch! Double Pen Sports (Japan).3ds,3ds,Touch! Double Pen Sports (Japan).3ds
3ds/Toushin Toshi - Girls Gift RPG (Japan).3ds,3ds,Toushin Toshi - Girls Gift RPG (Japan).3ds
3ds/Tousouchuu - Shijou Saikyou no Hunter-tachi Kara Nigekire! (Japan) (Rev 1).3ds,3ds,Tousouchuu - Shijou Saikyou no Hunter-tachi Kara Nigekire! (Japan) (Rev 1).3ds
"3ds/Transformers - Dark of the Moon - Stealth Force Edition (Europe) (En,Fr,De,Es,It).3ds",3ds,"Transformers - Dark of the Moon - Stealth Force Edition (Europe) (En,Fr,De,Es,It).3ds"
"3ds/Transformers - Rise of the Dark Spark (Europe) (En,Fr,De,Es,It).3ds",3ds,"Transformers - Rise of the Dark Spark (Europe) (En,Fr,De,Es,It).3ds"
"3ds/Transformers Prime - The Game (Europe) (En,Fr,De,Es,It,Nl,Sv).3ds",3ds,"Transformers Prime - The Game (Europe) (En,Fr,De,Es,It,Nl,Sv).3ds"
3ds/Travel Adventures with Hello Kitty (USA).3ds,3ds,Travel Adventures with Hello Kitty (USA).3ds
3ds/Tribe Cool Crew - THE G@ME (Japan).3ds,3ds,Tribe Cool Crew - THE G@ME (Japan).3ds
"3ds/Turbo - Super Stunt Squad (Europe) (En,Fr,De,Es,It).3ds",3ds,"Turbo - Super Stunt Squad (Europe) (En,Fr,De,Es,It).3ds"
3ds/Twieonawayo Dongmul-ui Sup (Korea) (Rev 1).3ds,3ds,Twieonawayo Dongmul-ui Sup (Korea) (Rev 1).3ds
"3ds/Ultimate NES Remix (Europe) (En,Fr,De,Es,It).3ds",3ds,"Ultimate NES Remix (Europe) (En,Fr,De,Es,It).3ds"
3ds/UnchainBlades EXXiV (Japan).3ds,3ds,UnchainBlades EXXiV (Japan).3ds
3ds/Ushimitsu Monstruo - Linze to Mahou no Rhythm (Japan).3ds,3ds,Ushimitsu Monstruo - Linze to Mahou no Rhythm (Japan).3ds
"3ds/Viking Invasion 2 - Tower Defense (Europe) (En,Fr,De,Es,It).3ds",3ds,"Viking Invasion 2 - Tower Defense (Europe) (En,Fr,De,Es,It).3ds"
3ds/Virus Shooter XX (Japan).3ds,3ds,Virus Shooter XX (Japan).3ds
3ds/Vitamin X - Evolution Plus (Japan).3ds,3ds,Vitamin X - Evolution Plus (Japan).3ds
3ds/Vitamin Z Revolution (Japan).3ds,3ds,Vitamin Z Revolution (Japan).3ds
"3ds/WRC - FIA World Rally Championship (Europe) (En,Fr,De,Es,It).3ds",3ds,"WRC - FIA World Rally Championship (Europe) (En,Fr,De,Es,It).3ds"
"3ds/WWE All Stars (Europe) (En,Fr,De,Es,It).3ds",3ds,"WWE All Stars (Europe) (En,Fr,De,Es,It).3ds"
3ds/Wagamama Fashion - GirlsMode - Yokubari Sengen (Japan) (Rev 1).3ds,3ds,Wagamama Fashion - GirlsMode - Yokubari Sengen (Japan) (Rev 1).3ds
3ds/Wan Nyan Doubutsu Byouin - Pet no Oisha-san ni Narou! (Japan).3ds,3ds,Wan Nyan Doubutsu Byouin - Pet no Oisha-san ni Narou! (Japan).3ds
3ds/Wan Nyan Doubutsu Byouin - Suteki na Juui-san ni Narou! (Japan).3ds,3ds,Wan Nyan Doubutsu Byouin - Suteki na Juui-san ni Narou! (Japan).3ds
3ds/Wan Nyan Doubutsu Byouin 2 (Japan) (Rev 1).3ds,3ds,Wan Nyan Doubutsu Byouin 2 (Japan) (Rev 1).3ds
3ds/Wan Nyan Pet Shop (Japan) (Rev 2).3ds,3ds,Wan Nyan Pet Shop (Japan) (Rev 2).3ds
"3ds/WarioWare Gold (Europe) (En,Fr,De,Es,It).3ds",3ds,"WarioWare Gold (Europe) (En,Fr,De,Es,It).3ds"
"3ds/Whitakers Present, The - Milton & Friends 3D (Europe).3ds",3ds,"Whitakers Present, The - Milton & Friends 3D (Europe).3ds"
3ds/Winning Eleven 3D Soccer (Japan).3ds,3ds,Winning Eleven 3D Soccer (Japan).3ds
"3ds/Winter Sports 2012 - Feel the Spirit (Europe) (En,Fr,De,It).3ds",3ds,"Winter Sports 2012 - Feel the Spirit (Europe) (En,Fr,De,It).3ds"
"3ds/Winx Club - Saving Alfea (Europe) (En,Fr,De,Es,It,Pt).3ds",3ds,"Winx Club - Saving Alfea (Europe) (En,Fr,De,Es,It,Pt).3ds"
3ds/Wipeout - Create & Crash (USA).3ds,3ds,Wipeout - Create & Crash (USA).3ds
3ds/Wipeout 2 (USA).3ds,3ds,Wipeout 2 (USA).3ds
"3ds/Word Wizard 3D (Europe) (En,Fr,De,Es,It,Nl).3ds",3ds,"Word Wizard 3D (Europe) (En,Fr,De,Es,It,Nl).3ds"
3ds/World Soccer Winning Eleven 2012 (Japan).3ds,3ds,World Soccer Winning Eleven 2012 (Japan).3ds
3ds/World Soccer Winning Eleven 2014 - Aoki Samurai no Chousen (Japan).3ds,3ds,World Soccer Winning Eleven 2014 - Aoki Samurai no Chousen (Japan).3ds
"3ds/Wreck-It Ralph (Europe) (En,Fr,De,Es,It,Nl,Sv) (Rev 1).3ds",3ds,"Wreck-It Ralph (Europe) (En,Fr,De,Es,It,Nl,Sv) (Rev 1).3ds"
"3ds/Yakari - The Mystery of Four Seasons (Europe) (En,Fr,De,Es,It).3ds",3ds,"Yakari - The Mystery of Four Seasons (Europe) (En,Fr,De,Es,It).3ds"
3ds/Yeolhyeolgyeongpa Kunio-Kun SP - Nantu Hyeopjugog (Korea).3ds,3ds,Yeolhyeolgyeongpa Kunio-Kun SP - Nantu Hyeopjugog (Korea).3ds
3ds/Yeolhyeolgyeongpa Kunio-Kun Special (Korea).3ds,3ds,Yeolhyeolgyeongpa Kunio-Kun Special (Korea).3ds
"3ds/Yo-Kai Watch 2 - Bony Spirits (Europe) (En,Fr,De,Es,It,Nl).3ds",3ds,"Yo-Kai Watch 2 - Bony Spirits (Europe) (En,Fr,De,Es,It,Nl).3ds"
"3ds/Yo-Kai Watch 2 - Fleshy Souls (Europe) (En,Fr,De,Es,It,Nl).3ds",3ds,"Yo-Kai Watch 2 - Fleshy Souls (Europe) (En,Fr,De,Es,It,Nl).3ds"
