name;link;size;image_url;thumbnail_url;marquee_url
Metal Gear (EU).mx2;https://archive.org/download/CentralArquivista-MSX2/Metal Gear (EU).mx2;;https://db.hfsplay.fr/files/2019/08/07/Metal_Gear_Europe_GSebeOk.png;https://db.hfsplay.fr/files/2018/10/06/174ae94c-def4-4446-a2a4-1fa73bd1112a.png;
Metal Gear (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Metal Gear (JP).mx2;;https://db.hfsplay.fr/files/2019/08/07/Metal_Gear_Europe_GSebeOk.png;https://db.hfsplay.fr/files/2018/10/06/174ae94c-def4-4446-a2a4-1fa73bd1112a.png;
Metal Gear 2 - Solid Snake (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Metal Gear 2 - Solid Snake (JP).mx2;;https://db.hfsplay.fr/files/2020/06/30/60564_med_kaqkcLJ.jpg;https://db.hfsplay.fr/files/2020/06/30/60564_med_kaqkcLJ.jpg;https://db.hfsplay.fr/files/2020/06/30/60564_med_kaqkcLJ.jpg
Mirai (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Mirai (JP).mx2;;;;
Mississippi Satsujinjiken (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Mississippi Satsujinjiken (JP).mx2;128.00 KB;;;
Moero!! Nettou Yakyuu 88 (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Moero!! Nettou Yakyuu 88 (JP).mx2;;;;
Monmon Kaibutsu (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Monmon Kaibutsu (JP).mx2;128.00 KB;;;
Nekketsu Juudou (JP) (Alt).mx2;https://archive.org/download/CentralArquivista-MSX2/Nekketsu Juudou (JP) (Alt).mx2;;;;
Nekketsu Juudou (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Nekketsu Juudou (JP).mx2;;;;
Ninja-kun - Asura no Shou (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Ninja-kun - Asura no Shou (JP).mx2;;;;
Nobunaga no Yabou - Bushou Fuuun Roku (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Nobunaga no Yabou - Bushou Fuuun Roku (JP).mx2;;https://db.hfsplay.fr/files/2019/06/26/25a1427f-0816-4e84-80f1-4e1ca280acac_KlOkIea.jpg;https://db.hfsplay.fr/files/2018/10/06/551e8f69-6a50-4d51-b1a5-1130fc430b1b.png;
Nobunaga no Yabou - Sengoku Gunyuuden (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Nobunaga no Yabou - Sengoku Gunyuuden (JP).mx2;;https://db.hfsplay.fr/files/2019/06/26/25a1427f-0816-4e84-80f1-4e1ca280acac_KlOkIea.jpg;https://db.hfsplay.fr/files/2018/10/06/551e8f69-6a50-4d51-b1a5-1130fc430b1b.png;
Nobunaga no Yabou - Zenkoku Ban (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Nobunaga no Yabou - Zenkoku Ban (JP).mx2;512.00 KB;;;
Ogre (JP) (Alt).mx2;https://archive.org/download/CentralArquivista-MSX2/Ogre (JP) (Alt).mx2;;;;
Ogre (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Ogre (JP).mx2;;;;
Ouke no Tani - El Giza no Fuuin (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Ouke no Tani - El Giza no Fuuin (JP).mx2;;;;
Ouke no Tani - El Giza no Fuuin - Edit Contest Yuushuu Sakuhinshuu (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Ouke no Tani - El Giza no Fuuin - Edit Contest Yuushuu Sakuhinshuu (JP).mx2;128.00 KB;;;
Out Run (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Out Run (JP).mx2;256.00 KB;;;
Pac-Mania (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Pac-Mania (JP).mx2;;;;
Pachi Pro Densetsu (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Pachi Pro Densetsu (JP).mx2;128.00 KB;;;
Penguin-kun Wars 2 (JP) (Alt).mx2;https://archive.org/download/CentralArquivista-MSX2/Penguin-kun Wars 2 (JP) (Alt).mx2;;;;
Penguin-kun Wars 2 (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Penguin-kun Wars 2 (JP).mx2;;;;
Predator (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Predator (JP).mx2;;;;
Pro Yakyuu Family Stadium - Pennant Race (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Pro Yakyuu Family Stadium - Pennant Race (JP).mx2;;;;
Pro Yakyuu Fan - Telenet Stadium (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Pro Yakyuu Fan - Telenet Stadium (JP).mx2;;;;
Professional Mahjong Gokuu (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Professional Mahjong Gokuu (JP).mx2;;;;
Project A2 - Shijousaidai no Hyouteki (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Project A2 - Shijousaidai no Hyouteki (JP).mx2;;;;
Quarth (JP) (Wii U Virtual Console).mx2;https://archive.org/download/CentralArquivista-MSX2/Quarth (JP) (Wii U Virtual Console).mx2;;;;
Quarth (KR).mx2;https://archive.org/download/CentralArquivista-MSX2/Quarth (KR).mx2;;;;
Quinpl (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Quinpl (JP).mx2;;;;
Rastan Saga (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Rastan Saga (JP).mx2;;https://db.hfsplay.fr/files/2019/06/14/aa9d3921-a608-440d-a956-b1be87369aa6.png;;
Relics (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Relics (JP).mx2;;;;
Replicart (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Replicart (JP).mx2;;;;
Return of Jelda (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Return of Jelda (JP).mx2;;;;
Rick to Mick no Daibouken (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Rick to Mick no Daibouken (JP).mx2;;;;
Royal Blood (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Royal Blood (JP).mx2;;;;
RWBrunildaMSX2_v1_01.mx2;https://archive.org/download/CentralArquivista-MSX2/RWBrunildaMSX2_v1_01.mx2;1.22 MiB;;;
Sangokushi (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Sangokushi (JP).mx2;;;;
Sangokushi 2 (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Sangokushi 2 (JP).mx2;1.00 MiB;;;
Scramble Formation (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Scramble Formation (JP).mx2;;https://db.hfsplay.fr/files/2019/06/14/e5755160-86fa-4cd0-93a6-d9308c65e4de.png;https://db.hfsplay.fr/files/2018/10/06/4aef419a-7ee2-4457-8d62-0fa5be84b9d9.png;
Seikima 2 Special - Akuma no Gyakushuu (JP) (Alt).mx2;https://archive.org/download/CentralArquivista-MSX2/Seikima 2 Special - Akuma no Gyakushuu (JP) (Alt).mx2;128.00 KB;;;
Seikima 2 Special - Akuma no Gyakushuu (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Seikima 2 Special - Akuma no Gyakushuu (JP).mx2;128.00 KB;;;
Shanghai (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Shanghai (JP).mx2;;;;
Shiryou Sensen - War of the Dead (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Shiryou Sensen - War of the Dead (JP).mx2;;;;
Space Manbow (JP) (Wii U Virtual Console).mx2;https://archive.org/download/CentralArquivista-MSX2/Space Manbow (JP) (Wii U Virtual Console).mx2;;;;
Star Virgin (JP) (Alt).mx2;https://archive.org/download/CentralArquivista-MSX2/Star Virgin (JP) (Alt).mx2;;;;
Star Virgin (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Star Virgin (JP).mx2;;;;
Strategic Mars (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Strategic Mars (JP).mx2;;;;
Suikoden - Tenmei no Chikai (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Suikoden - Tenmei no Chikai (JP).mx2;;https://db.hfsplay.fr/files/2019/09/21/Suikoden_-_Tierkreis_xlo6X9K.png;;
Super Daisenryaku (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Super Daisenryaku (JP).mx2;;https://db.hfsplay.fr/files/2019/09/15/63ae9bb5-26a5-4cbb-b05c-53a3df43e723_KZN9u7p.jpg;;
Super Load Runner (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Super Load Runner (JP).mx2;128.00 KB;;;
Super Rambo Special (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Super Rambo Special (JP).mx2;;;;
Super Runner (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Super Runner (JP).mx2;;https://db.hfsplay.fr/files/2019/06/19/SuperGridRunner_v1.0_pBRkqLB.png;https://db.hfsplay.fr/files/2018/10/06/3a136c92-25eb-4f55-986a-bac421fec97f.png;
Super Tritorn (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Super Tritorn (JP).mx2;;;;
Taiyou no Shinden - Asteka 2 (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Taiyou no Shinden - Asteka 2 (JP).mx2;256.00 KB;;;
Tanikawa Hiroshi no Shougi Shinan 2 (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Tanikawa Hiroshi no Shougi Shinan 2 (JP).mx2;128.00 KB;;;
Teitoku no Ketsudan (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Teitoku no Ketsudan (JP).mx2;;https://db.hfsplay.fr/files/2019/10/12/P.T.O._IV_-_Pacific_Theater_of_Operations_USA_eiPzrW2.png;;
Tengoku Yoitoko (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Tengoku Yoitoko (JP).mx2;;;;
Tetris (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Tetris (JP).mx2;;;;
The Cockpit (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/The Cockpit (JP).mx2;;https://db.hfsplay.fr/files/2020/04/16/f800e393-63c5-4da7-b2bf-6aea06abf8c1_vL5fHSQ.jpg;;
The Eidolon (EU).mx2;https://archive.org/download/CentralArquivista-MSX2/The Eidolon (EU).mx2;;https://db.hfsplay.fr/files/2019/09/28/The_Eidolon-01_LNVpOSc.png;;
The Gekitotsu Pennant Race - Pro Yakyuu (JP) (Alt).mx2;https://archive.org/download/CentralArquivista-MSX2/The Gekitotsu Pennant Race - Pro Yakyuu (JP) (Alt).mx2;;;;
The Gekitotsu Pennant Race - Pro Yakyuu (JP) (Alt-2).mx2;https://archive.org/download/CentralArquivista-MSX2/The Gekitotsu Pennant Race - Pro Yakyuu (JP) (Alt-2).mx2;;;;
The Gekitotsu Pennant Race - Pro Yakyuu (JP) (Alt-3).mx2;https://archive.org/download/CentralArquivista-MSX2/The Gekitotsu Pennant Race - Pro Yakyuu (JP) (Alt-3).mx2;;;;
The Gekitotsu Pennant Race - Pro Yakyuu (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/The Gekitotsu Pennant Race - Pro Yakyuu (JP).mx2;;;;
The Return of Ishtar (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/The Return of Ishtar (JP).mx2;;https://db.hfsplay.fr/files/2019/08/04/Batman_-_Return_of_the_Joker_Europe_5MauaAT.png;https://db.hfsplay.fr/files/2018/10/06/d5043e9b-4895-44e8-9edb-54812f3fce4e.png;
The Sword of Ianna (WR).mx2;https://archive.org/download/CentralArquivista-MSX2/The Sword of Ianna (WR).mx2;704.00 KB;;;
The Treasure of Usas (JP - EU) (En) (Alt).mx2;https://archive.org/download/CentralArquivista-MSX2/The Treasure of Usas (JP - EU) (En) (Alt).mx2;;https://db.hfsplay.fr/files/2019/06/24/Flintstones_The_-_The_Treasure_of_Sierra_Madrock_Europe_sP9TYvR.png;https://db.hfsplay.fr/files/2018/10/06/17f9027e-b8ea-431c-939a-3528c0edcd6c.png;
The Treasure of Usas (JP - EU) (En).mx2;https://archive.org/download/CentralArquivista-MSX2/The Treasure of Usas (JP - EU) (En).mx2;;https://db.hfsplay.fr/files/2019/06/24/Flintstones_The_-_The_Treasure_of_Sierra_Madrock_Europe_sP9TYvR.png;https://db.hfsplay.fr/files/2018/10/06/17f9027e-b8ea-431c-939a-3528c0edcd6c.png;
Topple Zip (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Topple Zip (JP).mx2;;https://db.hfsplay.fr/files/2019/08/30/Topple_Zip_Japan_jh60sKF.jpg;;
Treasure of the Usas (JP) (Wii U Virtual Console).mx2;https://archive.org/download/CentralArquivista-MSX2/Treasure of the Usas (JP) (Wii U Virtual Console).mx2;128.00 KB;;;
Tsurikichi Sanpei - Blue Marine Hen (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Tsurikichi Sanpei - Blue Marine Hen (JP).mx2;;;;
Tsurikichi Sanpei - Tsuri Sennin Hen (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Tsurikichi Sanpei - Tsuri Sennin Hen (JP).mx2;;;;
Ultima Exodus (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Ultima Exodus (JP).mx2;256.00 KB;;;
Urusei Yatsura - Koi no Survival Birthday (JP).mx2;https://archive.org/download/CentralArquivista-MSX2/Urusei Yatsura - Koi no Survival Birthday (JP).mx2;;https://db.hfsplay.fr/files/2019/09/15/99f7d205-3833-4cba-ae97-3f2bac0fc54e_4iCY4Ws.jpg;;
Vampire Killer (JP - EU) (En) (Alt).mx2;https://archive.org/download/CentralArquivista-MSX2/Vampire Killer (JP - EU) (En) (Alt).mx2;;https://db.hfsplay.fr/files/2023/10/05/Vampire-Killer-000_9PE9GRl.jpg;;
Vampire Killer (JP - EU) (En) (Alt-2).mx2;https://archive.org/download/CentralArquivista-MSX2/Vampire Killer (JP - EU) (En) (Alt-2).mx2;;https://db.hfsplay.fr/files/2023/10/05/Vampire-Killer-000_9PE9GRl.jpg;;
Vampire Killer (JP - EU) (En) (Alt-3).mx2;https://archive.org/download/CentralArquivista-MSX2/Vampire Killer (JP - EU) (En) (Alt-3).mx2;;https://db.hfsplay.fr/files/2023/10/05/Vampire-Killer-000_9PE9GRl.jpg;;
